@label	oCC
@font	/home/oracc/www/fonts/Cuneiform-Classic-final.ttf
@css	ofs-cc
o0002242	U+1228E	oCC
o0000510	U+1228F	oCC
o0000511	U+12290	oCC
o0000514	U+12291	oCC
o0000516	U+12292	oCC
o0000517	U+12293	oCC
o0000520	U+12294	oCC
o0000518	U+12295	oCC
o0002272	U+12296	oCC
o0002274	U+12297	oCC
o0002273	U+12298	oCC
o0002277	U+12299	oCC
o0002279	U+1229A	oCC
o0002280	U+1229B	oCC
o0002281	U+1229C	oCC
o0002282	U+1229D	oCC
o0002283	U+1229E	oCC
o0002284	U+1229F	oCC
o0002293	U+122A0	oCC
o0031495	U+122A1	oCC
o0002292	U+122A2	oCC
o0002287	U+122A3	oCC
o0002288	U+122A4	oCC
o0002289	U+122A5	oCC
o0002291	U+122A6	oCC
o0002263	U+122A7	oCC
o0000519	U+122A8	oCC
o0000522	U+122A9	oCC
o0000523	U+122AB	oCC
o0000524	U+122AC	oCC
o0002824	U+122AD	oCC
o0002828	U+122AE	oCC
o0002695	U+122AF	oCC
o0002696	U+122B0	oCC
o0002697	U+122B1	oCC
o0002698	U+122B2	oCC
o0002703	U+122B3	oCC
o0002701	U+122B4	oCC
o0002702	U+122B5	oCC
o0002694	U+122B6	oCC
o0002829	U+122B7	oCC
o0002825	U+122B8	oCC
o0002827	U+122B9	oCC
o0002831	U+122BA	oCC
o0002714	U+122BB	oCC
o0002705	U+122BC	oCC
o0002708	U+122BD	oCC
o0002832	U+122BE	oCC
o0002833	U+122BF	oCC
o0002834	U+122C0	oCC
o0002836	U+122C1	oCC
o0002835	U+122C2	oCC
o0002837	U+122C3	oCC
o0002743	U+122C4	oCC
o0002744	U+122C5	oCC
o0002838	U+122C6	oCC
o0002748	U+122C7	oCC
o0002749	U+122C8	oCC
o0002750	U+122C9	oCC
o0002751	U+122CA	oCC
o0002752	U+122CB	oCC
o0002754	U+122CC	oCC
o0002753	U+122CD	oCC
o0002755	U+122CE	oCC
o0002756	U+122CF	oCC
o0002757	U+122D0	oCC
o0002759	U+122D1	oCC
o0002839	U+122D2	oCC
o0002840	U+122D3	oCC
o0000493	U+122D4	oCC
o0002163	U+122D5	oCC
o0002842	U+122D6	oCC
o0002845	U+122D7	oCC
o0002764	U+122D8	oCC
o0002850	U+122D9	oCC
o0002848	U+122DA	oCC
o0000525	U+122DB	oCC
o0000526	U+122DC	oCC
o0000527	U+122DD	oCC
o0000528	U+122DE	oCC
o0002344	U+122DF	oCC
o0000529	U+122E0	oCC
o0000530	U+122E1	oCC
o0000531	U+122E2	oCC
o0002367	U+122E3	oCC
o0000532	U+122E4	oCC
o0000534	U+122E5	oCC
o0000535	U+122E6	oCC
o0000536	U+122E7	oCC
o0000537	U+122E8	oCC
o0000539	U+122E9	oCC
o0000540	U+122EA	oCC
o0000541	U+122EB	oCC
o0000543	U+122EC	oCC
o0002407	U+122ED	oCC
o0002408	U+122EE	oCC
o0000542	U+122EF	oCC
o0000544	U+122F0	oCC
o0002382	U+122F1	oCC
o0000653	U+122F2	oCC
o0000546	U+122F3	oCC
o0002395	U+122F4	oCC
o0002396	U+122F5	oCC
o0002400	U+122F6	oCC
o0002401	U+122F7	oCC
o0002398	U+122F8	oCC
o0002399	U+122F9	oCC
o0000547	U+122FA	oCC
o0000548	U+122FB	oCC
o0000550	U+122FC	oCC
o0000551	U+122FD	oCC
o0000553	U+122FE	oCC
o0000554	U+122FF	oCC
o0000555	U+12300	oCC
o0002726	U+12301	oCC
o0000640	U+12302	oCC
o0000639	U+12303	oCC
o0000635	U+12304	oCC
o0000556	U+12305	oCC
o0000557	U+12306	oCC
o0000558	U+12307	oCC
o0000559	U+12308	oCC
o0000560	U+12309	oCC
o0002431	U+1230A	oCC
o0000561	U+1230B	oCC
o0002459	U+1230C	oCC
o0002471	U+1230D	oCC
o0002441	U+1230E	oCC
o0002442	U+1230F	oCC
o0002444	U+12310	oCC
o0000599	U+12311	oCC
o0000564	U+12312	oCC
o0000565	U+12313	oCC
o0002500	U+12314	oCC
o0002521	U+12315	oCC
o0002522	U+12316	oCC
o0002520	U+12317	oCC
o0002519	U+12318	oCC
o0000462	U+12319	oCC
o0000569	U+1231A	oCC
o0002516	U+1231B	oCC
o0000570	U+1231C	oCC
o0000571	U+1231D	oCC
o0002532	U+1231E	oCC
o0002531	U+1231F	oCC
o0002535	U+12320	oCC
o0002534	U+12321	oCC
o0000572	U+12322	oCC
o0000573	U+12323	oCC
o0000138	U+12324	oCC
o0002530	U+12325	oCC
o0000575	U+12326	oCC
o0000574	U+12327	oCC
o0000576	U+12328	oCC
o0002536	U+12329	oCC
o0000578	U+1232A	oCC
o0000585	U+1232B	oCC
o0002583	U+1232C	oCC
o0002584	U+1232D	oCC
o0002588	U+1232E	oCC
o0002591	U+1232F	oCC
o0002595	U+12330	oCC
o0002597	U+12331	oCC
o0002586	U+12332	oCC
o0002587	U+12333	oCC
o0000588	U+12334	oCC
o0000579	U+12335	oCC
o0000581	U+12336	oCC
o0000582	U+12337	oCC
o0002553	U+12338	oCC
o0002554	U+12339	oCC
o0002555	U+1233A	oCC
o0002557	U+1233B	oCC
o0002563	U+1233C	oCC
o0002560	U+1233D	oCC
o0002561	U+1233E	oCC
o0002562	U+1233F	oCC
o0002564	U+12340	oCC
o0002565	U+12341	oCC
o0002566	U+12342	oCC
o0002567	U+12343	oCC
o0002568	U+12344	oCC
o0002569	U+12345	oCC
o0002571	U+12346	oCC
o0002572	U+12347	oCC
o0002573	U+12348	oCC
o0002579	U+12349	oCC
o0002574	U+1234A	oCC
o0002576	U+1234B	oCC
o0002552	U+1234C	oCC
o0002577	U+1234D	oCC
o0002578	U+1234E	oCC
o0000584	U+1234F	oCC
o0002545	U+12350	oCC
o0000595	U+12351	oCC
o0002614	U+12352	oCC
o0002616	U+12353	oCC
o0002615	U+12354	oCC
o0002617	U+12355	oCC
o0000597	U+12356	oCC
o0000598	U+12357	oCC
o0000591	U+12359	oCC
o0000594	U+1235A	oCC
o0002602	U+1235B	oCC
o0000592	U+1235C	oCC
o0000603	U+1235D	oCC
o0000604	U+1235E	oCC
o0000619	U+1235F	oCC
o0000605	U+12360	oCC
o0000172	U+12361	oCC
o0000608	U+12362	oCC
o0000609	U+12363	oCC
o0002666	U+12364	oCC
o0000613	U+12365	oCC
o0000870	U+12366	oCC
o0000869	U+12367	oCC
o0000611	U+12368	oCC
o0000612	U+12369	oCC
o0000614	U+1236A	oCC
o0000618	U+1236B	oCC
o0002680	U+1236C	oCC
o0000616	U+1236D	oCC
o0000617	U+1236E	oCC
o0000274	U+1236F	oCC
