@label	RSP
@title	Oracc RSP font
@page	/osl/Fonts/Oracc-RSP/
@font	Oracc-RSP.ttf
@css	ofs-rsp
@mag	110
@list	RSP
o0000558	U+12307	RSP
o0000558	U+12307	RSP
o0000559	U+12308	RSP
o0000560	U+12309	RSP
o0000560	U+12309	RSP
o0000561	U+1230B	RSP
o0000561	U+1230B	RSP
o0000561	U+1230B	RSP
o0000561	U+1230B	RSP
o0000561	U+1230B	RSP
o0002459	U+1230C	RSP
o0002459	U+1230C	RSP
o0002459	U+1230C	RSP
o0002459	U+1230C	RSP
o0002459	U+1230C	RSP
o0000599	U+12311	RSP
o0000564	U+12312	RSP
o0000564	U+12312	RSP
o0000565	U+12313	RSP
o0002500	U+12314	RSP
o0000571	U+1231D	RSP
o0000571	U+1231D	RSP
o0000571	U+1231D	RSP
o0000571	U+1231D	RSP
o0000571	U+1231D	RSP
o0000571	U+1231D	RSP
o0000571	U+1231D	RSP
o0000573	U+12323	RSP
