@label	oNOTO
@font	/home/oracc/www/fonts/Oracc-Noto-SansCuneiform.ttf
@css	ofs-noto
o0002714	U+122BB	oNOTO
o0002705	U+122BC	oNOTO
o0002708	U+122BD	oNOTO
o0002832	U+122BE	oNOTO
o0002833	U+122BF	oNOTO
o0002834	U+122C0	oNOTO
o0002836	U+122C1	oNOTO
o0002835	U+122C2	oNOTO
o0002837	U+122C3	oNOTO
o0002743	U+122C4	oNOTO
o0002744	U+122C5	oNOTO
o0002838	U+122C6	oNOTO
o0002748	U+122C7	oNOTO
o0002749	U+122C8	oNOTO
o0002750	U+122C9	oNOTO
o0002751	U+122CA	oNOTO
o0002752	U+122CB	oNOTO
o0002754	U+122CC	oNOTO
o0002753	U+122CD	oNOTO
o0002755	U+122CE	oNOTO
o0002756	U+122CF	oNOTO
o0002757	U+122D0	oNOTO
o0002759	U+122D1	oNOTO
o0002839	U+122D2	oNOTO
o0002840	U+122D3	oNOTO
o0000493	U+122D4	oNOTO
o0002163	U+122D5	oNOTO
o0002842	U+122D6	oNOTO
o0002845	U+122D7	oNOTO
o0002764	U+122D8	oNOTO
o0002850	U+122D9	oNOTO
o0002850	U+122D9	oNOTO
o0002850	U+122D9	oNOTO
o0002848	U+122DA	oNOTO
o0000525	U+122DB	oNOTO
o0000526	U+122DC	oNOTO
o0000527	U+122DD	oNOTO
o0000528	U+122DE	oNOTO
o0002344	U+122DF	oNOTO
o0000529	U+122E0	oNOTO
o0000530	U+122E1	oNOTO
o0000531	U+122E2	oNOTO
o0002367	U+122E3	oNOTO
o0000532	U+122E4	oNOTO
o0000534	U+122E5	oNOTO
o0000535	U+122E6	oNOTO
o0000536	U+122E7	oNOTO
o0000537	U+122E8	oNOTO
o0000539	U+122E9	oNOTO
o0000540	U+122EA	oNOTO
o0000541	U+122EB	oNOTO
o0000543	U+122EC	oNOTO
o0002407	U+122ED	oNOTO
o0002408	U+122EE	oNOTO
o0000542	U+122EF	oNOTO
o0000544	U+122F0	oNOTO
o0002382	U+122F1	oNOTO
o0000653	U+122F2	oNOTO
o0000546	U+122F3	oNOTO
o0002395	U+122F4	oNOTO
o0002396	U+122F5	oNOTO
o0002400	U+122F6	oNOTO
o0002401	U+122F7	oNOTO
o0002398	U+122F8	oNOTO
o0002399	U+122F9	oNOTO
o0000547	U+122FA	oNOTO
o0000548	U+122FB	oNOTO
o0000550	U+122FC	oNOTO
o0000551	U+122FD	oNOTO
o0000553	U+122FE	oNOTO
o0000554	U+122FF	oNOTO
o0000555	U+12300	oNOTO
o0000555	U+12300	oNOTO
o0002726	U+12301	oNOTO
o0000640	U+12302	oNOTO
o0000639	U+12303	oNOTO
o0000635	U+12304	oNOTO
o0000556	U+12305	oNOTO
o0000557	U+12306	oNOTO
o0000558	U+12307	oNOTO
o0000559	U+12308	oNOTO
o0000560	U+12309	oNOTO
o0002431	U+1230A	oNOTO
o0000561	U+1230B	oNOTO
o0002459	U+1230C	oNOTO
o0002471	U+1230D	oNOTO
o0002441	U+1230E	oNOTO
o0002442	U+1230F	oNOTO
o0002444	U+12310	oNOTO
o0000599	U+12311	oNOTO
o0000564	U+12312	oNOTO
o0000565	U+12313	oNOTO
o0002500	U+12314	oNOTO
o0002521	U+12315	oNOTO
o0002522	U+12316	oNOTO
o0002520	U+12317	oNOTO
o0000462	U+12318	oNOTO
o0038409	U+12319	oNOTO
o0038409	U+12319	oNOTO
o0000569	U+1231A	oNOTO
o0002516	U+1231B	oNOTO
o0000570	U+1231C	oNOTO
o0000571	U+1231D	oNOTO
o0002532	U+1231E	oNOTO
o0002531	U+1231F	oNOTO
o0002535	U+12320	oNOTO
o0002534	U+12321	oNOTO
o0000572	U+12322	oNOTO
o0000573	U+12323	oNOTO
o0000138	U+12324	oNOTO
o0000138	U+12324	oNOTO
o0000138	U+12324	oNOTO
o0000138	U+12324	oNOTO
o0002530	U+12325	oNOTO
o0000575	U+12326	oNOTO
o0000574	U+12327	oNOTO
o0000576	U+12328	oNOTO
o0002536	U+12329	oNOTO
o0000578	U+1232A	oNOTO
o0000585	U+1232B	oNOTO
o0002583	U+1232C	oNOTO
o0002584	U+1232D	oNOTO
o0002588	U+1232E	oNOTO
o0002591	U+1232F	oNOTO
o0002595	U+12330	oNOTO
o0002597	U+12331	oNOTO
o0002586	U+12332	oNOTO
o0002587	U+12333	oNOTO
o0000588	U+12334	oNOTO
